#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-2974,Manchester City Council,Hospitality + Trading Services,Electricity,2013-04-25,1903628801,9256.95,British Gas Business
MCC1314-2975,Manchester City Council,Childrens Services,Electricity,2013-04-25,1903628802,549.32,British Gas Business
MCC1314-2976,Manchester City Council,Libraries and Theatres,Electricity,2013-04-25,1903628803,2488.74,British Gas Business
MCC1314-2977,Manchester City Council,Childrens Services,Electricity,2013-04-25,1903628804,2315.33,British Gas Business
MCC1314-2978,Manchester City Council,Corporate Services,Electricity,2013-04-25,1903628805,1861.28,British Gas Business
MCC1314-2979,Manchester City Council,Corporate Services,Electricity,2013-04-25,1903628806,4062.29,British Gas Business
MCC1314-2980,Manchester City Council,Environment and Operations,Electricity,2013-04-25,1903628808,651.34,British Gas Business
MCC1314-2981,Manchester City Council,Adult Social Care,Gas,2013-04-25,1903628851,692.52,British Gas Plc
MCC1314-2982,Manchester City Council,Corporate Services,Gas,2013-04-25,1903628852,606.96,British Gas Plc
MCC1314-2983,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100628917,1933.99,Somali Golden Centre of Opps
MCC1314-2984,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100628985,788.83,Royal Oak & Baguley Residents Assoc
MCC1314-2985,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100628988,788.83,Royal Oak & Baguley Residents Assoc
MCC1314-2986,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100629082,2125.00,Greater Manchester Youth
MCC1314-2987,Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,2013-04-25,5100629689,7700.00,Turner & Townsend Cost
MCC1314-2988,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100629779,2082.25,Greater Manchester Youth
MCC1314-2989,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100629780,4164.50,Greater Manchester Youth
MCC1314-2990,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100629781,4250.00,Greater Manchester Youth
MCC1314-2991,Manchester City Council,Childrens Services,Proffesional fees,2013-04-25,5100630103,1450.00,One Education Ltd
MCC1314-2992,Manchester City Council,Childrens Services,Furniture,2013-04-25,5100630635,722.64,The Furnishing Service Ltd
MCC1314-2993,Manchester City Council,Chief Executives,Agency staff provision,2013-04-25,5100630918,5882.40,Nigel Frank International
MCC1314-2994,Manchester City Council,Housing Revenue Account,Proffesional fees,2013-04-25,5100631185,9664.00,Northwards Housing Limited
MCC1314-2995,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100631217,1096.66,Cheetwood Centre
MCC1314-2996,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-25,5100632067,1099.83,SRA Cover Staff Ltd
MCC1314-2997,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100632067,676.40,SRA Cover Staff Ltd
MCC1314-2998,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100632067,646.80,SRA Cover Staff Ltd
MCC1314-2999,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-25,5100632070,732.48,Randstad Care
MCC1314-3000,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100632070,915.32,Randstad Care
MCC1314-3001,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100632070,671.82,Randstad Care
MCC1314-3002,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100632070,571.46,Randstad Care
MCC1314-3003,Manchester City Council,Adult Social Care,Transport Taxis,2013-04-25,5100632070,1027.10,Randstad Care
MCC1314-3004,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-25,5100632099,678.78,P S Recruitment Specialists Ltd
MCC1314-3005,Manchester City Council,Chief Executives,Agency staff provision,2013-04-25,5100632130,2919.94,P S Recruitment Specialists Ltd
MCC1314-3006,Manchester City Council,Manchester Leisure,Agency staff provision,2013-04-25,5100632210,1587.36,Manpower UK Ltd
MCC1314-3007,Manchester City Council,Housing Revenue Account,Proffesional fees,2013-04-25,5100632353,6442.00,Northwards Housing Limited
MCC1314-3008,Manchester City Council,Corporate Services,Postage,2013-04-25,5100632573,1025.44,Royal Mail Group Plc
MCC1314-3009,Manchester City Council,Corporate Services,Postage,2013-04-25,5100632628,6199.50,Royal Mail Group Plc
MCC1314-3010,Manchester City Council,Childrens Services,Furniture,2013-04-25,5100632766,820.00,The Furnishing Service Ltd
MCC1314-3011,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633186,-4291.42,NPS North West Ltd
MCC1314-3012,Manchester City Council,Adult Social Care,Rents,2013-04-25,5100633205,783.20,Mosscare Housing Ltd
MCC1314-3013,Manchester City Council,Adult Social Care,Rents,2013-04-25,5100633211,766.56,Mosscare Housing Ltd
MCC1314-3014,Manchester City Council,Adult Social Care,Rents,2013-04-25,5100633218,957.30,Mosscare Housing Ltd
MCC1314-3015,Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,2013-04-25,5100633227,1950.00,Underground Surveys (UK) Ltd
MCC1314-3016,Manchester City Council,Adult Social Care,Rents,2013-04-25,5100633233,783.60,Mosscare Housing Ltd
MCC1314-3017,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100633250,6184.00,"Groundwork Manchester, Salford"
MCC1314-3018,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100633254,6184.00,"Groundwork Manchester, Salford"
MCC1314-3019,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-25,5100633258,635.00,Pakawaste Limited
MCC1314-3020,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-25,5100633334,1360.00,Groundwork Landscapes Ltd
MCC1314-3021,Manchester City Council,Chief Executives,Construction Works,2013-04-25,5100633412,525.78,Amey Highways Lighting (Manchester)
MCC1314-3022,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-04-25,5100633461,1500.00,Technical Diamond Products LLP
MCC1314-3023,Manchester City Council,Housing Revenue Account,Heating Repairs,2013-04-25,5100633464,1951.59,ENER-G Switch 2 Ltd
MCC1314-3024,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-25,5100633492,10937.38,Kenny Bros (Civil Eng) Ltd
MCC1314-3025,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-25,5100633493,717.19,Kenny Bros (Civil Eng) Ltd
MCC1314-3026,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-25,5100633494,900.00,Kenny Bros (Civil Eng) Ltd
MCC1314-3027,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633589,7000.00,GVA Grimley Ltd
MCC1314-3028,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633599,982.00,Experian Limited
MCC1314-3029,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633603,987.50,Experian Limited
MCC1314-3030,Manchester City Council,Adult Social Care,Rents,2013-04-25,5100633626,766.56,Mosscare Housing Ltd
MCC1314-3031,Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2013-04-25,5100633702,11662.35,Carlton Fuels Ltd
MCC1314-3032,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-04-25,5100633705,1666.66,Ladybarn Community Centre
MCC1314-3033,Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2013-04-25,5100633709,19940.82,Carlton Fuels Ltd
MCC1314-3034,Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,2013-04-25,5100633715,19938.60,Carlton Fuels Ltd
MCC1314-3035,Manchester City Council,Childrens Services,Proffesional Fees,2013-04-25,5100633761,3484.00,Jacobs UK Ltd
MCC1314-3036,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,17490.00,Jacobs UK Ltd
MCC1314-3037,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,9595.00,Jacobs UK Ltd
MCC1314-3038,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,2385.00,Jacobs UK Ltd
MCC1314-3039,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1595.25,Jacobs UK Ltd
MCC1314-3040,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1530.00,Jacobs UK Ltd
MCC1314-3041,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1453.40,Jacobs UK Ltd
MCC1314-3042,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1105.50,Jacobs UK Ltd
MCC1314-3043,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1090.05,Jacobs UK Ltd
MCC1314-3044,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,1000.00,Jacobs UK Ltd
MCC1314-3045,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,926.30,Jacobs UK Ltd
MCC1314-3046,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,787.50,Jacobs UK Ltd
MCC1314-3047,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,726.70,Jacobs UK Ltd
MCC1314-3048,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,670.00,Jacobs UK Ltd
MCC1314-3049,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,650.00,Jacobs UK Ltd
MCC1314-3050,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,650.00,Jacobs UK Ltd
MCC1314-3051,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,650.00,Jacobs UK Ltd
MCC1314-3052,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,606.00,Jacobs UK Ltd
MCC1314-3053,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,549.25,Jacobs UK Ltd
MCC1314-3054,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,544.00,Jacobs UK Ltd
MCC1314-3055,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633761,540.50,Jacobs UK Ltd
MCC1314-3056,Manchester City Council,Housing Revenue Account,Proffesional Fees,2013-04-25,5100633761,1092.00,Jacobs UK Ltd
MCC1314-3057,Manchester City Council,Housing Revenue Account,Proffesional Fees,2013-04-25,5100633761,624.00,Jacobs UK Ltd
MCC1314-3058,Manchester City Council,Housing General Fund,Surplus property Fees,2013-04-25,5100633761,502.50,Jacobs UK Ltd
MCC1314-3059,Manchester City Council,Housing General Fund,Surplus property Fees,2013-04-25,5100633761,502.50,Jacobs UK Ltd
MCC1314-3060,Manchester City Council,Chief Executives,Postage,2013-04-25,5100633769,-500.00,Teleset Francotyp Postalia Ltd
MCC1314-3061,Manchester City Council,Chief Executives,Postage,2013-04-25,5100633771,-500.00,Teleset Francotyp Postalia Ltd
MCC1314-3062,Manchester City Council,Chief Executives,Postage,2013-04-25,5100633772,-500.00,Teleset Francotyp Postalia Ltd
MCC1314-3063,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-04-25,5100633782,1610.00,Redacted Personal Information
MCC1314-3064,Manchester City Council,Childrens Services,CAMC/Not assigned,2013-04-25,5100633784,690.00,Redacted Personal Information
MCC1314-3065,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633787,1946.00,SLC Paragon
MCC1314-3066,Manchester City Council,Manchester Leisure,Transport Coach Hire,2013-04-25,5100633807,25560.00,Ashalls Coaches
MCC1314-3067,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633809,535.84,Aggregate Industries T/A Kennedy As
MCC1314-3068,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633813,587.20,Aggregate Industries T/A Kennedy As
MCC1314-3069,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-25,5100633814,2813.00,The Recruitment Business Ltd
MCC1314-3070,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-25,5100633815,3029.25,The Recruitment Business Ltd
MCC1314-3071,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-25,5100633816,3003.25,The Recruitment Business Ltd
MCC1314-3072,Manchester City Council,Environment and Operations,Hire of Machinery,2013-04-25,5100633817,962.80,R & M Developments Ltd
MCC1314-3073,Manchester City Council,Environment and Operations,Hire of Machinery,2013-04-25,5100633819,1203.50,R & M Developments Ltd
MCC1314-3074,Manchester City Council,Chief Executives,Payments to Sub-Contractors,2013-04-25,5100633820,2412.75,The Recruitment Business Ltd
MCC1314-3075,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633822,692.44,Aggregate Industries T/A Kennedy As
MCC1314-3076,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633824,732.46,Aggregate Industries T/A Kennedy As
MCC1314-3077,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633827,551.04,Aggregate Industries T/A Kennedy As
MCC1314-3078,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633838,-1946.00,SLC Paragon
MCC1314-3079,Manchester City Council,Adult Social Care,Payments for services,2013-04-25,5100633839,10000.00,Concateno UK
MCC1314-3080,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-25,5100633846,56000.00,Building Design Partnership Limited
MCC1314-3081,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-25,5100633846,50000.00,Building Design Partnership Limited
MCC1314-3082,Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,2013-04-25,5100633846,9000.00,Building Design Partnership Limited
MCC1314-3083,Manchester City Council,Childrens Services,Supporting People Payments,2013-04-25,5100633847,554.35,Ardwick Lads Amateur Boxing Club
MCC1314-3084,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633851,1946.60,SLC Paragon
MCC1314-3085,Manchester City Council,Chief Executives,Hire of Equipment,2013-04-25,5100633852,6559.42,Piccadilly Live Ltd
MCC1314-3086,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633854,1946.60,SLC Paragon
MCC1314-3087,Manchester City Council,Manchester Leisure,Payments for services,2013-04-25,5100633856,1995.00,Premier Sport Ltd
MCC1314-3088,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633857,1946.60,SLC Paragon
MCC1314-3089,Manchester City Council,Manchester Leisure,Payments for services,2013-04-25,5100633858,1995.00,Premier Sport Ltd
MCC1314-3090,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-25,5100633859,5250.00,Ove Arup & Partners Ltd
MCC1314-3091,Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,2013-04-25,5100633860,570.00,FleetMatics
MCC1314-3092,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-25,5100633863,511.48,Aggregate Industries T/A Kennedy As
MCC1314-3093,Manchester City Council,Chief Executives,Seconded Employees,2013-04-25,5100633864,7749.41,Department of Health
MCC1314-3094,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633866,1946.60,SLC Paragon
MCC1314-3095,Manchester City Council,Libraries and Theatres,Building Materials for direct delivery,2013-04-25,5100633867,75000.00,Manchester Care & Repair Ltd
MCC1314-3096,Manchester City Council,Environment and Operations,Hire of Machinery,2013-04-25,5100633868,1811.36,Redgate Holdings Ltd
MCC1314-3097,Manchester City Council,Environment and Operations,Hire of Machinery,2013-04-25,5100633870,2130.76,Redgate Holdings Ltd
MCC1314-3098,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633871,1946.60,SLC Paragon
MCC1314-3099,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100633872,900.00,Redgate Holdings Ltd
MCC1314-3100,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100633875,2600.00,Redgate Holdings Ltd
MCC1314-3101,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-04-25,5100633878,1275.00,Broad African Representative Counci
MCC1314-3102,Manchester City Council,Adult Social Care,Building Materials for direct delivery,2013-04-25,5100633879,535.71,Screwfix Direct T/A Trade UK
MCC1314-3103,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100633885,808.50,Wythenshawe Community Initiative
MCC1314-3104,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633886,3981.80,SLC Paragon
MCC1314-3105,Manchester City Council,Regeneration Finance,Proffesional Fees,2013-04-25,5100633888,9972.50,Building Design Partnership Limited
MCC1314-3106,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633891,8171.33,The Nugent Care Society
MCC1314-3107,Manchester City Council,Childrens Services,Proffesional fees,2013-04-25,5100633892,11880.00,One Education Ltd
MCC1314-3108,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633895,15000.00,Pricewaterhousecoopers LLP
MCC1314-3109,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100633896,1361.25,Wythenshawe Community Initiative
MCC1314-3110,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633898,5676.56,The Nugent Care Society
MCC1314-3111,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100633899,18000.00,Pricewaterhousecoopers LLP
MCC1314-3112,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633900,1946.60,SLC Paragon
MCC1314-3113,Manchester City Council,Childrens Services,Proffesional fees,2013-04-25,5100633901,2000.00,One Education Ltd
MCC1314-3114,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633903,927.00,IndePendent Business Services Ltd
MCC1314-3115,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633906,2105.00,IndePendent Business Services Ltd
MCC1314-3116,Manchester City Council,Learning Disabilities PB,Payments for services,2013-04-25,5100633907,1946.60,SLC Paragon
MCC1314-3117,Manchester City Council,Libraries and Theatres,Hire of Machinery,2013-04-25,5100633915,600.00,Redgate Holdings Ltd
MCC1314-3118,Manchester City Council,Libraries and Theatres,Refuse Collection,2013-04-25,5100633917,3165.00,Redgate Holdings Ltd
MCC1314-3119,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633918,2502.91,Chaigeley Education Foundation
MCC1314-3120,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100633919,900.00,Redgate Holdings Ltd
MCC1314-3121,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633920,2324.00,Edstart
MCC1314-3122,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100633921,1350.00,Redgate Holdings Ltd
MCC1314-3123,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633922,6666.66,The Nugent Care Society
MCC1314-3124,Manchester City Council,Libraries and Theatres,Hire of Machinery,2013-04-25,5100633923,900.00,Redgate Holdings Ltd
MCC1314-3125,Manchester City Council,Chief Executives,External repairs and maintenance for buildings,2013-04-25,5100633924,1615.00,John Kershaw & Co
MCC1314-3126,Manchester City Council,Hospitality + Trading Services,Proffesional Fees,2013-04-25,5100633926,1015.00,Triscan Systems Ltd
MCC1314-3127,Manchester City Council,Environment and Operations,Hire of Machinery,2013-04-25,5100633933,2128.72,Redgate Holdings Ltd
MCC1314-3128,Manchester City Council,Adult Social Care,Legal Fees,2013-04-25,5100633937,1000.00,Redacted Personal Information
MCC1314-3129,Manchester City Council,Adult Social Care,Legal Fees,2013-04-25,5100633938,1300.00,Redacted Personal Information
MCC1314-3130,Manchester City Council,Childrens Services,Payments for services,2013-04-25,5100633940,16203.70,The Nugent Care Society
MCC1314-3131,Manchester City Council,Regeneration Finance,Mobilephone Charges,2013-04-25,5100633944,726.00,T-Mobile
MCC1314-3132,Manchester City Council,Chief Executives,Advertising,2013-04-25,5100633947,1853.82,Newsquest (North West) Ltd
MCC1314-3133,Manchester City Council,Chief Executives,Machinery and equipment repairs,2013-04-25,5100633948,1296.00,Bowe Systec
MCC1314-3134,Manchester City Council,Regeneration Finance,Consultants Fees,2013-04-25,5100633950,4400.00,Ekos Consulting (Uk) Ltd
MCC1314-3135,Manchester City Council,Adult Social Care,Licences Purchase,2013-04-25,5100633955,4000.00,Care Quality Commission
MCC1314-3136,Manchester City Council,Adult Social Care,Licences Purchase,2013-04-25,5100633955,2600.00,Care Quality Commission
MCC1314-3137,Manchester City Council,Adult Social Care,Licences Purchase,2013-04-25,5100633955,1000.00,Care Quality Commission
MCC1314-3138,Manchester City Council,Adult Social Care,Licences Purchase,2013-04-25,5100633955,1000.00,Care Quality Commission
MCC1314-3139,Manchester City Council,Adult Social Care,Licences Purchase,2013-04-25,5100633955,1000.00,Care Quality Commission
MCC1314-3140,Manchester City Council,Adult Social Care,Third party payments to Health Authority,2013-04-25,5100633955,1000.00,Care Quality Commission
MCC1314-3141,Manchester City Council,Housing Revenue Account,Proffesional fees,2013-04-25,5100633960,110457.60,Eastlands Homes Partnership Ltd
MCC1314-3142,Manchester City Council,Regeneration Finance,Consultants Fees,2013-04-25,5100633963,3500.00,Deloitte & Touche Llp
MCC1314-3143,Manchester City Council,Corporate Services,Contract Cleaning External,2013-04-25,5100633971,740.43,Initial Washroom Solutions
MCC1314-3144,Manchester City Council,Corporate Services,Contract Cleaning External,2013-04-25,5100633972,740.43,Initial Washroom Solutions
MCC1314-3145,Manchester City Council,Hospitality + Trading Services,I T Provision,2013-04-25,5100633979,11837.96,KPR Midlink Ltd
MCC1314-3146,Manchester City Council,Adult Social Care,I T Provision,2013-04-25,5100634018,7470.00,Paloma Systems Ltd
MCC1314-3147,Manchester City Council,Childrens Services,Proffesional fees,2013-04-25,5100634033,2870.67,Manchester School Services Limited
MCC1314-3148,Manchester City Council,Hospitality + Trading Services,Equipment,2013-04-25,5100634035,2086.79,Key Industrial Equipment Ltd
MCC1314-3149,Manchester City Council,Adult Social Care,Fees,2013-04-25,5100634043,2499.32,Trafford M B C
MCC1314-3150,Manchester City Council,Childrens Services,Rates,2013-04-25,5100634051,13305.75,MCC Business Rates (int)
MCC1314-3151,Manchester City Council,Childrens Services,Public Transport,2013-04-25,5100634053,750.00,Childrens and Families Across Borde
MCC1314-3152,Manchester City Council,Adult Social Care,Equipment,2013-04-25,5100634056,9900.00,Tunstall Healthcare (UK) Ltd
MCC1314-3153,Manchester City Council,Libraries and Theatres,Heat Management,2013-04-25,5100634057,1583.99,Wigan Metropolitan Borough Council
MCC1314-3154,Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2013-04-25,5100634058,9641.00,Mansell Construction Services Ltd
MCC1314-3155,Manchester City Council,Childrens Services,I T Provision,2013-04-25,5100634059,8122.91,Discovery Business Solutions Ltd
MCC1314-3156,Manchester City Council,Childrens Services,Transport Coach Hire,2013-04-25,5100634062,11811.00,M Travel
MCC1314-3157,Manchester City Council,Manchester Leisure,Training and Development,2013-04-25,5100634072,800.00,Lois Burton Ltd
MCC1314-3158,Manchester City Council,Chief Executives,Postage,2013-04-25,5100634075,4326.83,Royal Mail Group Plc
MCC1314-3159,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-25,5100634078,9798.57,NPS North West Ltd
MCC1314-3160,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-04-25,5100634083,1444.49,Clearview Event Services Limited
MCC1314-3161,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-04-25,5100634084,1134.00,Clearview Event Services Limited
MCC1314-3162,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-04-25,5100634085,1943.84,Clearview Event Services Limited
MCC1314-3163,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100634086,765.25,Semester Recruitment Ltd
MCC1314-3164,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-04-25,5100634096,1820.00,Clearview Event Services Limited
MCC1314-3165,Manchester City Council,Manchester Leisure,Contract Cleaning External,2013-04-25,5100634154,1890.00,Clearview Event Services Limited
MCC1314-3166,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100634158,1225.13,Wythenshawe Community Initiative
MCC1314-3167,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100634159,928.13,Wythenshawe Community Initiative
MCC1314-3168,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100634166,1089.00,Wythenshawe Community Initiative
MCC1314-3169,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100634179,5235.75,Brighter Beginnings (Cheetham)
MCC1314-3170,Manchester City Council,Chief Executives,Equipment,2013-04-25,5100634182,1372.80,Footprint Solutions Ltd
MCC1314-3171,Manchester City Council,Chief Executives,Rents,2013-04-25,5100634183,1941.50,Manchester Airport Plc
MCC1314-3172,Manchester City Council,Childrens Services,Grant and subscriptions awarded,2013-04-25,5100634191,3049.00,Stockport Metropolitan Borough
MCC1314-3173,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100634195,1300.00,Redgate Holdings Ltd
MCC1314-3174,Manchester City Council,Environment and Operations,Refuse Collection,2013-04-25,5100634197,2000.00,Redgate Holdings Ltd
MCC1314-3175,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-25,5100634199,-15000.00,Redacted Personal Information
MCC1314-3176,Manchester City Council,Chief Executives,Agency staff provision,2013-04-25,5100634201,2688.50,HR GO Recruitment Healthcare
MCC1314-3177,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-25,5100634203,15000.00,Redacted Personal Information
MCC1314-3178,Manchester City Council,Adult Social Care,Payments for services,2013-04-25,5100634204,1399.70,Connect Cars Ltd
MCC1314-3179,Manchester City Council,Childrens Services,Refuse Collection,2013-04-25,5100634211,559.82,Initial Washroom Solutions
MCC1314-3180,Manchester City Council,Hospitality + Trading Services,Hire of Machinery,2013-04-25,5100634214,1380.00,Vale Engineering (York) Ltd
MCC1314-3181,Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,2013-04-25,5100634216,1243.20,Colas Limited
MCC1314-3182,Manchester City Council,Chief Executives,Machinery and equipment repairs,2013-04-25,5100634227,900.00,Xerox (Uk) Ltd
MCC1314-3183,Manchester City Council,Insurance Fund,Vehicle & Plant Ins,2013-04-25,5100634235,1715.20,Motor Accident Protection
MCC1314-3184,Manchester City Council,Housing General Fund,Building Works,2013-04-25,5100634271,2114.00,Manchester Care & Repair Ltd
MCC1314-3185,Manchester City Council,Housing General Fund,Building Works,2013-04-25,5100634271,705.75,Manchester Care & Repair Ltd
MCC1314-3186,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100634273,-1307.45,Entrust Social Care
MCC1314-3187,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-04-25,5100634280,1937.50,Age Concern Manchester
MCC1314-3188,Manchester City Council,Childrens Services,Agency staff provision,2013-04-25,5100634282,837.90,Entrust Social Care
MCC1314-3189,Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,2013-04-25,5100634283,770.00,England Athletics Limited
MCC1314-3190,Manchester City Council,Environment and Operations,Proffesional fees,2013-04-25,5100634285,1022.50,Staffordshire County Council
MCC1314-3191,Manchester City Council,Chief Executives,Car Parking Permits,2013-04-25,5100634300,4069.55,National Car Parks Ltd Season Ticke
MCC1314-3192,Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,2013-04-25,5100634321,1937.50,Age Concern Manchester
MCC1314-3193,Manchester City Council,Chief Executives,Storage Costs,2013-04-25,5100634345,660.00,Forsyth Business Centres UK Ltd
MCC1314-3194,Manchester City Council,Childrens Services,Third party payments relating to Voluntary Organisations,2013-04-25,5100634352,550.52,Cygnet Springside
